userID	displayName	sum(weight)
47169	Fredrik Boston Westman	14
60636	James Flash	14
104498	Brandon Donehoo	14
13370	Felipe Bormann	14
18787	Ole Petersen	14
173	Wojciech Walczak	14
7763	VictorZurkowski	14
87726	qNin	14
14519	KT.	14
88539	nick012000	14
68208	Dhaval Thakkar	14
73209	Alexis Pister	14
12876	Matthew Graves	14
12699	Barabbas	14
100573	ChessGrandMaster	14
30359	Cybernetic	14
57214	user633599	14
60902	Sangathamilan Ravichandran	14
106183	MXK	14
14946	gm1	14
63932	oezguensi	14
15690	R. Doe	14
74261	sayan sen	14
77992	Nour	14
86244	Rajan Lagah	14
10275	Stéphanie C	14
42882	Krishna Nevase	14
32280	aidan.plenert.macdonald	14
97653	Sai Sreenivas	14
46974	Abhay Sibal	13
55049	TorbenL	13
13915	Marc Lamberti	13
40736	ODP	13
46886	jchaykow	13
30006	Manik	13
46523	Johnathan Brown	13
860	MohamedEzz	13
61406	Amruth Lakkavaram	13
74725	Björn B	13
96033	Bharathi	13
58155	Myron Leskiv	13
63718	theantomc	13
96924	kate-melnykova	13
42681	Ben	13
51771	Sagar Dawda	13
77356	bala	13
15501	Winks	13
10907	Mark	13
57688	"\"1tan\""	13
7980	image_doctor	13
96850	skrrrt	13
17177	mork	13
13291	Haroon Rashid	13
59693	Vincent B. Lortie	13
61662	montserrat	13
57429	Philippe Fanaro	13
65153	HS-nebula	13
53799	user53799	13
45433	K.S	13
14684	SpanishBoy	13
98775	Hitesh Somani	13
99252	sai	13
25311	mxdbld	13
26444	Vivek Khetan	13
71675	Ismael EL ATIFI	13
97514	NiklasvMoers	13
45937	Milan van Dijck	13
10904	Santoshi M	13
3044	pir	13
37567	André Bergner	13
88280	Pratyush Rajawat	13
45488	Sana Afreen	13
38134	JKC	13
44688	Sheetal	13
27114	PSub	13
90	saq7	13
6648	gchaks	13
33196	hwaxxer	13
29428	Roy	13
40791	krishnab	13
32989	VladimirLenin	13
84697	Vikas Bhandary	13
52902	haik	13
69646	mLstudent33	13
87178	shahid hamdam	13
104143	Rina	13
44394	Stephen	13
